block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14427, size 12, leak 173124.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14447, size 12, leak 173364.
block 32, total 14176, active 14158, size 340, leak 4813720.
block 1000, total 44000, active 24175, size 12, leak 290100.
block 32, total 14240, active 14210, size 340, leak 4831400.
block 1000, total 34000, active 14456, size 12, leak 173472.
block 32, total 14144, active 14144, size 340, leak 4808960.
block 1000, total 35000, active 14691, size 12, leak 176292.
block 32, total 14208, active 14196, size 340, leak 4826640.
block 1000, total 34000, active 14456, size 12, leak 173472.
block 32, total 14176, active 14175, size 340, leak 4819500.
block 1000, total 34000, active 14519, size 12, leak 174228.
block 32, total 14176, active 14161, size 340, leak 4814740.
block 1000, total 34000, active 14538, size 12, leak 174456.
block 32, total 14176, active 14174, size 340, leak 4819160.
block 1000, total 34000, active 14491, size 12, leak 173892.
block 32, total 14176, active 14174, size 340, leak 4819160.
block 1000, total 34000, active 14490, size 12, leak 173880.
block 32, total 14208, active 14183, size 340, leak 4822220.
block 1000, total 34000, active 14490, size 12, leak 173880.
block 32, total 14176, active 14158, size 340, leak 4813720.
block 1000, total 35000, active 15379, size 12, leak 184548.
block 32, total 14176, active 14165, size 340, leak 4816100.
block 1000, total 34000, active 14525, size 12, leak 174300.
block 32, total 14176, active 14173, size 340, leak 4818820.
block 1000, total 34000, active 14533, size 12, leak 174396.
block 32, total 14176, active 14158, size 340, leak 4813720.
block 1000, total 34000, active 14530, size 12, leak 174360.
block 32, total 14208, active 14181, size 340, leak 4821540.
block 1000, total 34000, active 14536, size 12, leak 174432.
block 32, total 14176, active 14159, size 340, leak 4814060.
block 1000, total 34000, active 14537, size 12, leak 174444.
block 32, total 14176, active 14170, size 340, leak 4817800.
block 1000, total 34000, active 14537, size 12, leak 174444.
block 32, total 14176, active 14160, size 340, leak 4814400.
